Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
55,ACABTC,77270847.12985115,2025-02-16 07:46:00,5.905899999999999e-07,0.04563538960641722,2025-02-16 13:06:00,5.993999999999999e-07,0.04631614576963277,0.5888046278379352,0.012902368817623015,Long,Closed,55
56,ACABTC,71292994.82457629,2025-02-17 09:12:00,5.905899999999999e-07,0.042104929813440606,2025-02-17 15:33:00,5.8941e-07,0.042020804079553505,-0.16825146778599048,-0.00399600399600377,Long,Closed,56
57,ACABTC,62176554.582379006,2025-02-17 20:32:00,5.805799999999999e-07,0.03609846405943529,2025-02-17 23:13:00,5.694300000000001e-07,0.03540519547584408,-0.764772243128794,-0.02118572806503804,Long,Closed,57
58,ACABTC,85371887.18900186,2025-02-18 08:27:00,5.605599999999999e-07,0.04785606508266227,2025-02-18 10:54:00,5.4945e-07,0.046907583415997066,-1.043245315168466,-0.021799646781789462,Long,Closed,58
59,ACABTC,61661155.29881349,2025-02-18 11:58:00,5.605599999999999e-07,0.034564777214299625,2025-02-18 15:14:00,5.5944e-07,0.03449571672036822,-0.13812098786933202,-0.003996003996003702,Long,Closed,59
60,ACABTC,43368665.94619739,2025-02-18 18:50:00,5.5055e-07,0.023876619036677482,2025-02-18 22:04:00,5.3946e-07,0.023395660531335648,-0.528230784911337,-0.022123349377894556,Long,Closed,60
61,ACABTC,60233079.35517435,2025-02-18 22:54:00,5.605599999999999e-07,0.03376425496333013,2025-02-18 23:51:00,5.4945e-07,0.033095065451700545,-0.7360488320510152,-0.021799646781789382,Long,Closed,61
62,ACABTC,44957624.76728177,2025-02-19 07:11:00,5.605599999999999e-07,0.025201446139544004,2025-02-19 10:19:00,5.694300000000001e-07,0.02560022027123326,0.34797246527501696,0.01380763878978198,Long,Closed,62
63,ACABTC,65391760.084447145,2025-02-19 10:40:00,5.7057e-07,0.03731057655137704,2025-02-19 14:04:00,5.5944e-07,0.03658276626164312,-0.8017036325529125,-0.021487302171512422,Long,Closed,63
64,ACABTC,62667977.019097626,2025-02-19 20:03:00,5.605599999999999e-07,0.03512916119782261,2025-02-19 23:58:00,5.4945e-07,0.03443291997314319,-0.7658033058531344,-0.021799646781789393,Long,Closed,64
65,ACABTC,56498876.13892819,2025-02-20 05:56:00,5.605599999999999e-07,0.03167101000843431,2025-02-20 09:07:00,5.4945e-07,0.031043307494534093,-0.6904168314064582,-0.02179964678178946,Long,Closed,65
66,ACABTC,55864228.219819136,2025-02-20 10:59:00,5.605599999999999e-07,0.031315251770898556,2025-02-20 13:14:00,5.5944e-07,0.03125268383529562,-0.12513587121238362,-0.003996003996003638,Long,Closed,66
67,ACABTC,78523037.00254852,2025-02-20 14:01:00,5.605599999999999e-07,0.044016873622140906,2025-02-20 14:20:00,5.4945e-07,0.04314448268105028,-0.9595522974015009,-0.021799646781789372,Long,Closed,67
68,ACABTC,62487529.688100815,2025-02-20 22:41:00,5.605599999999999e-07,0.03502800964195529,2025-02-21 01:18:00,5.4945e-07,0.03433377318712699,-0.7635982376638761,-0.021799646781789278,Long,Closed,68
69,ACABTC,74342481.42906727,2025-02-21 02:13:00,5.605599999999999e-07,0.04167342138987351,2025-02-21 11:12:00,5.694300000000001e-07,0.042332839200153786,0.5754115496858133,0.01380763878978209,Long,Closed,69
70,ACABTC,60619004.13759552,2025-02-21 13:25:00,5.7057e-07,0.03458738519078253,2025-02-21 16:45:00,5.5944e-07,0.03391269567473644,-0.743189596916956,-0.02148730217151251,Long,Closed,70
71,ACABTC,74101500.00117509,2025-02-21 21:56:00,5.605599999999999e-07,0.041538336840652335,2025-02-21 22:18:00,5.4945e-07,0.04071506917564565,-0.9055210710293465,-0.021799646781789327,Long,Closed,71
72,ACABTC,64636697.7774106,2025-02-21 22:44:00,5.605599999999999e-07,0.03623274730610149,2025-02-22 02:31:00,5.4945e-07,0.03551463359379825,-0.7898610932069298,-0.02179964678178949,Long,Closed,72
73,ACABTC,54752203.54574436,2025-02-22 08:42:00,5.605599999999999e-07,0.030691895219600696,2025-02-22 10:51:00,5.4945e-07,0.030083598238209237,-0.6690724748510266,-0.021799646781789483,Long,Closed,73
74,ACABTC,52571183.8621378,2025-02-22 11:40:00,5.605599999999999e-07,0.029469302825756216,2025-02-22 14:20:00,5.5944e-07,0.029410423099834375,-0.1177594518511797,-0.0039960039960036916,Long,Closed,74
75,ACABTC,52855400.27545033,2025-02-22 16:12:00,5.7057e-07,0.03015770573516008,2025-02-22 17:30:00,5.5944e-07,0.029569425130097932,-0.6480077359310166,-0.02148730217151246,Long,Closed,75
